rank,track ID,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,position_restore
10,5vGLcdRuSbUhD8ScwsGSdA,CJ,Whoopty,CJ Music Group/T-Series,10,11,13,18810928,410
14,1M4OcYkxAtu3ErzSgDEfoi,Cardi B,Up,Atlantic Records,14,15,8,18741109,2414
21,7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,RBMG/Def Jam,15,29,27,18647613,9619
8,3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,8,-1,1,18627530,1208
19,03LfOYi0icz4souspZVVhq,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",DALE PLAY Records,19,-1,1,18555226,5019
18,7uQZVznj0uQOGC9KhV2Mg6,LISA,LALISA,YG Entertainment/Interscope Records,18,-1,1,18455241,6816
10,7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money Records/ TenThousand Projects,2,8,22,18425259,210
10,2pn8dNVSpYnAtlKFC8Q0DJ,ROSÉ,On The Ground,YG Entertainment/Interscope Records,10,-1,1,18358124,2010
22,7fUYUcWy853HS8YJn0b3Sr,The Ronettes,Sleigh Ride,Legacy Recordings,16,32,20,18315558,9620
20,6uvMKqNlrSvcC4NaKnrwjZ,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Atlantic Records UK,17,17,3,18311771,3820
10,60ynsPSSKe6O3sfwRnIBRf,Doja Cat,Streets,Kemosabe Records/RCA Records,10,21,4,18274551,810
27,42m3eP1JJhtzffal9B136J,Drake,7am On Bridle Path,OVO,27,-1,1,18180843,6625
23,27qAMKrDdKEs8HDXcvR24R,Chris Rea,Driving Home for Christmas - 2019 Remaster,Rhino,21,41,22,18149866,9621
25,0aoUM0zcu0kCX7Cv7O939I,"Ed Sheeran, Elton John",Merry Christmas,Atlantic Records UK,25,59,3,18096468,9623
14,2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,2,10,7,18060850,214
19,1v1oIWf2Xgh54kIWuKsDf6,AURORA,Runaway,Decca (UMO),19,19,5,17843306,3219
19,5dXWFMwD7I7zXsInONVl0H,SZA,I Hate U,Top Dawg Entertainment/RCA Records,19,-1,1,17740494,9217
21,09u787BYeYIGd2mFIJ505t,Adele,Cry Your Heart Out,Columbia,21,-1,1,17650939,8819
19,0G2zPzWqVjR68iNPmx2TBe,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,19,23,2,17595887,5419
17,4FRW5Nza1Ym91BGV4nFWXI,"Drake, Rick Ross",Lemon Pepper Freestyle (feat. Rick Ross),OVO,17,-1,1,17517919,1817
18,7qM1BWAsZMTYh4BcYLb0uQ,Juice WRLD,Already Dead,Grade A Productions/Interscope Records,18,-1,1,17452226,8616
19,2BITQ360Knh6qNAOqR7Dyq,"Trippie Redd, Playboi Carti",Miss The Rage (feat. Playboi Carti),1400 Entertainment / 10K Projects,19,-1,1,17348179,3619
22,5B0kgjHULYJhAQkK5XsMoC,"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),Columbia,22,-1,1,17225337,4822
26,4kKdvXD0ez7jp1296JmAts,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Columbia/Legacy,19,27,26,17068635,9824
23,10ImcQk9tihY1EKMDIbvXJ,Adele,To Be Loved,Columbia,23,-1,1,17044691,8821
30,2Q3jFbyE61mCjS3SkW4toJ,Drake,Race My Mind,OVO,30,-1,1,17035250,6628
31,7F9cT6hIRhnFCYP6GKS0tf,"Drake, Kid Cudi",IMY2 (with Kid Cudi),OVO,31,-1,1,16808455,6629
28,2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,11,48,18,16788374,9626
27,27RYrbL6S02LNVhDWVl38b,"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010,EMI Catalogue,13,31,24,16766065,9825
15,54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,Darkroom/Interscope Records,2,13,9,16658646,215
29,6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas,Reprise,21,49,24,16581800,9627
30,4so0Wek9Ig1p6CRCHuINwW,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas,Geffen,26,47,23,16564674,9628
