Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,duration_ms,key,mode,Artist_id,Artist_popularity
117.0,5N5k9nd479b1xpDZ4usjrg,206233231,Promises (with Sam Smith),Calvin Harris,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,0.0119,0.781,0.768,4.91e-06,0.325,"-5,991",0.0394,0.486,123.07,4,213309,11,1,7CajNmpbOovFoOoasH2HaY,90
118.0,696DnlkuDOXcMAnKlTgXXK,205286838,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,0.0522,0.621,0.601,0.0,0.46,"-5,616",0.148,0.457,"116,735",5,163636,6,0,0vRvGUQVUjytro0xpb26bs,89
119.0,0mjAU3yKR1QnXnHtjGJqTM,204469447,Rescue Me,OneRepublic,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,0.156,0.759,0.605,0.0,0.694,"-7,737",0.0433,0.64,"121,049",4,158900,7,1,5Pwc4xIPtQLFEnJriah9YJ,86
120.0,7BlBVFwvbWvcwNcUarQmjk,203856399,"Yo x Ti, Tu x Mi",ROSALÃA,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,0.462,0.78,0.759,0.000868,0.143,"-3,292",0.225,0.579,"91,952",4,201040,1,1,7ltDVBr6mKbRvohxheJ9h1,87
121.0,1rfofaqEpACxVEHIZBJe6W,202327212,Havana (feat. Young Thug),Camila Cabello,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,0.184,0.765,0.523,3.56e-05,0.132,"-4,333",0.03,0.394,"104,988",4,217307,2,1,4nDoRrQiYLoBzwC5BhVJzF,96
122.0,1LiN0Z98FkR1t0m8KmLcAH,201259287,Amanece,Anuel AA,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,0.437,0.79,0.631,0.0,0.158,"-5,549",0.0425,0.889,"94,039",4,190005,8,0,2R21vXR83lH98kGeO99Y66,96
123.0,7g8YaUQABMal0zWe7a2ijz,200055329,Pa MI- Remix,Dalex,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,0.753,0.688,0.62,5.27e-06,0.158,"-8,029",0.22,0.727,"170,018",4,360960,11,0,0KPX4Ucy9dk82uj4GpKesn,93
124.0,1nocRtwyNPVtGcIJqfgdzZ,199941831,Tutu,Camilo,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,0.273,0.731,0.832,0.0,0.0665,"-2,592",0.0503,0.94,"146,013",4,178613,9,1,28gNT5KBp7IjEOQoevXf9N,86
125.0,7K7MUBCnzgBAvMVW2RTWNs,199561494,Body (feat. brando),Loud Luxury,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,0.0476,0.752,0.764,9.44e-05,0.0543,"-4,399",0.038,0.582,"121,958",4,163216,1,1,6t1gpxYbY8OlLA7D2RiikQ,78
126.0,3swc6WTsr7rl9DqQKQA55C,195603663,Psycho (feat. Ty Dolla $ign),Post Malone,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,0.546,0.75,0.56,0.0,0.111,"-8,094",0.105,0.459,140.06,4,221440,8,1,246dkjvS1zLTtiykXe5h60,100
127.0,6fxVffaTuwjgEk5h9QyRjy,195029499,Photograph,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,0.201,"107,989",4,258987,4,1,6eUKZXaKkcviH0Ku9w2n3V,98
128.0,2RSHsoi04658QL5xgQVov3,193969417,Bad Liar,Imagine Dragons,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,0.0722,0.383,0.637,0.0,0.368,"-6,993",0.0703,0.0827,"177,913",4,260773,3,1,53XhwfbYqKCa1cC15pYq2q,92
129.0,2wrJq5XKLnmhRXHIAf9xBa,193331911,"10,000 Hours (with Justin Bieber)",Dan + Shay,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,0.153,0.654,0.63,0.0,0.111,"-4,644",0.0259,0.43,"89,991",4,167693,10,1,7z5WFjZAIYejWy0NI5lv4T,85
130.0,7BKLCZ1jbUBVqRi2FVlTVw,193248040,Closer,The Chainsmokers,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,0.524,0.0,0.111,"-5,599",0.0338,0.661,95.01,4,244960,8,1,69GGBxA162lTqCwzJG5jLp,91
