pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo,duration_sec
236,2021,2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin Around The Christmas Tree,[pop],0.59,0.47,0.05,0.61,0.51,0.9,67.2,126.266
237,2021,5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,[latin],0.76,0.77,0.03,0.01,0.13,0.44,130,287.12
238,2021,5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,[R&B],0.68,0.83,0.03,0.02,0.54,0.64,118.05,215.626
239,2021,3VT8hOC5vuDXBsHrR53WFh,Masked Wolf,Astronaut In The Ocean,[hip hop],0.78,0.7,0.09,0.18,0.15,0.47,150,132.78
240,2021,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,[pop],0.66,0.61,0.07,0.3,0.09,0.19,130.04,210.56
241,2021,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,[pop],0.82,0.76,0.09,0.09,0.12,0.88,108,172.626
242,2021,7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,[pop],0.75,0.42,0.04,0.64,0.07,0.81,119.71,130.973
243,2021,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,[R&B],0.51,0.73,0.06,0,0.09,0.33,171.01,200.04
244,2021,2BcMwX1MPV6ZHP4tUT9uq6,Drake  21 Savage  Project Pat,Knife Talk (with 21 Savage ft. Project Pat),[hip hop],0.85,0.42,0.32,0.06,0.08,0.15,145.89,242.965
245,2021,6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,[latin],0.65,0.52,0.05,0.11,0.2,0.55,83.97,160.191
246,2021,3aQem4jVGdhtg116TmJnHz,Drake,What’s Next,[hip hop],0.78,0.59,0.05,0.01,0.16,0.06,129.9,178.153
247,2021,4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,[rock],0.75,0.61,0.04,0,0.18,0.96,132.51,173.346
248,2021,7rglLriMNBPAyuJOMGwi39,Elton John  Dua Lipa  PNAU,Cold Heart - PNAU Remix,[rock],0.8,0.8,0.03,0.04,0.09,0.93,116.03,202.735
249,2021,7hU3IHwjX150XLoTVmjD0q,LISA,MONEY,[k-pop],0.83,0.55,0.22,0.16,0.15,0.4,140.03,168.227
250,2021,2TOzTqQXNmR2zDJXihjZ2e,Olivia Rodrigo,enough for you,[pop],0.64,0.26,0.09,0.75,0.22,0.27,88.49,202.826
251,2021,1nahzW3kfMuwReTka28tH5,Justin Bieber,Hold On,[pop],0.66,0.63,0.04,0.01,0.12,0.3,140,170.813
