track_ID,artist_names,track_name,source,streams
2Hh3ETdQKrmSI3QS0hme7g,Metro Boomin Future Don Toliver,Too Many Nights (feat Don Toliver & with Future),Republic Records,17037306
401160izncPtca3CmX3dvM,Kendrick Lamar Summer Walker Ghostface Killah,Purple Hearts,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,17034841
6eT2V7nKXyMf47TwPbtgAD,SZA,Seek & Destroy,Top Dawg Entertainment/RCA Records,17025862
71wFwRo8xGc4lrcyKwsvba,Bad Bunny Tainy,Callaita,Rimas Entertainment LLC,16946832
6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,16926501
5p8ThxM2OhJ0igfxkz0Z1q,RM Youjeen,Wild Flower (with youjeen),BIGHIT MUSIC,16889075
1eIXYZWEfJO3Na2LCCnIJE,SZA,Love Language,Top Dawg Entertainment/RCA Records,16497665
4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,16491189
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Columbia,16483252
7a5fliY9SsZENrQWQBZron,Drake,Texts Go Green,OVO,16470354
0YeUVm23SAkUruwEx9LWnt,Kendrick Lamar Baby Keem Sam Dew,Savior,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,16458150
1pacwLXyRO47ka0v6LTIiY,Metro Boomin Travis Scott,Raindrops (Insane) [with Travis Scott],Republic Records,16318297
7DwcBgdzqhFJltEaV1XF81,Post Malone Roddy Ricch,Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,16291059
3MJhPqL2IgGs7gHEB2M35q,BLACKPINK,Hard to Love,YG Entertainment/Interscope Records,16263699
06JvOZ39sK8D8SqiqfaxDU,Kanye West XXXTENTACION,True Love,Columbia,16005890
0g2Bbgy7P41pFjMWJuzsf4,DJ Khaled Drake Lil Baby,STAYING ALIVE (feat Drake & Lil Baby),Epic/We The Best,15991390
2vgUijXOTRMnWXDtvgMp2b,The Weeknd,Take My Breath,XO / Republic Records,15936947
0LnS7aOdOdI1dNKZqdOLz4,Jack Harlow,Dua Lipa,Generation Now/Atlantic,15731952
4NqkE7kRUvMDEdcqD96EDO,SZA Don Toliver,Used (feat Don Toliver),Top Dawg Entertainment/RCA Records,15648228
2ZlABhxMMa43COmZ97kKsJ,Drake,Jumbotron Shit Poppin,OVO / Republic Records,15383701
4XKXphKH76W4zNpkgFS5o2,j-hope,MORE,BIGHIT MUSIC,15350128
2D4dV2KXDTszzJ3p3cFqhA,The Weeknd,Less Than Zero,XO / Republic Records,15342843
7fYRg3CEbk6rNCuzNzMT06,Calvin Harris Dua Lipa Young Thug,Potion (with Dua Lipa & Young Thug),Columbia,15307850
3DarAbFujv6eYNliUTyqtz,Doja Cat SZA,Kiss Me More (feat SZA),Kemosabe Records/RCA Records,15303708
7AdGloF1UHKe1vAZPbqIXH,BLACKPINK,The Happiest Girl,YG Entertainment/Interscope Records,15256470
29YW2xXlo6Pc6M0SBTCXYN,Drake 21 Savage,More M’s,OVO / Republic Records,15250027
2Yt4SXIgmoaPZHGdRafp4P,Metro Boomin 21 Savage Young Nudy,Umbrella (with 21 Savage & Young Nudy),Republic Records,15170152
0QBzMgT7NIeoCYy3sJCof1,Camila Cabello Ed Sheeran,Bam Bam (feat Ed Sheeran),Epic,15162911
5oH4DQAuu1J1800RzUsBWa,PSY SUGA,That That (prod & feat SUGA of BTS),P NATION,15109107
1BSMpVGWs3v5BZKnAQziAc,Charlie Puth,Light Switch,Atlantic Records,15024735
6N1K5OVVCopBjGViHs2IvP,Ed Sheeran Taylor Swift,The Joker And The Queen (feat Taylor Swift),Atlantic Records UK,14958068
5xMw6qCcpd2gBXPGTegC4W,SZA,SOS,Top Dawg Entertainment/RCA Records,14944982
1Hohk6AufHZOrrhMXZppax,Beyoncé,ALIEN SUPERSTAR,Parkwood Entertainment/Columbia,14938140
1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,Thousand Miles,Columbia,14937157
1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,14905037
59CfNbkERJ3NoTXDvoURjj,Dove Cameron,Boyfriend,Disruptor Records/Columbia,14870380
1NhjYYcYTRywc0di98xHxf,The Weeknd Tyler The Creator,Here We Go… Again (feat Tyler the Creator),XO / Republic Records,14848877
2MuWTIM3b0YEAskbeeFE1i,Metallica,Master Of Puppets,Blackened Recordings / Universal Music,14802956
0nAZGkBGKQCXyaoSJfRhC1,Drake,A Keeper,OVO,14798148
72yP0DUlWPyH8P7IoxskwN,Elton John Britney Spears,Hold Me Closer,EMI,14768366
2bbwjxA68m9PHZFWgF1fze,Duki,GIVENCHY,DALE PLAY Records / SSJ Records,14660632
4uUG5RXrOk84mYEfFvj3cK,David Guetta Bebe Rexha,I'm Good (Blue),Parlophone UK,14635397
7mFj0LlWtEJaEigguaWqYh,Megan Thee Stallion Dua Lipa,Sweetest Pie,300 Entertainment,14634331
0U1W2LZVUX7qTm7dDpqxh6,Shawn Mendes,When You're Gone,Shawn Mendes LP4-5 PS/ Island,14619171
2uky0VCI2EZni0nArOPznM,Bizarrap Paulo Londra,Paulo Londra: Bzrp Music Sessions Vol 23,DALE PLAY Records,14610050
1E5Xu8dur0fAjSP1VpVhAZ,The Weeknd,Best Friends,XO / Republic Records,14588300
4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,14501654
6krYS8KtmNAYyb5uTZiYW4,The Weeknd,Dawn FM,XO / Republic Records,14262747
7sT7kZEYd1MrmzLLIRVZas,Drake,Calling My Name,OVO,14240967
5y4WmuvFX1t3NdSId0MFOh,BLACKPINK,Yeah Yeah Yeah,YG Entertainment/Interscope Records,14239879
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,14153068
4h5x3XHLVYFJaItKuO2rhy,SZA Phoebe Bridgers,Ghost in the Machine (feat Phoebe Bridgers),Top Dawg Entertainment/RCA Records,14137765
2Az5ykbQiZtFWtACCMvWlP,Kendrick Lamar,Rich - Interlude,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,14123144
3GYlZ7tbxLOxe6ewMNVTkw,Billie Eilish,TV,Darkroom/Interscope Records,14088818
5XbA7TAqsD0fj0dGBrbb0D,The Weeknd Lil Wayne,I Heard You’re Married (feat Lil Wayne),XO / Republic Records,14029224
2dG9k8jtnkjzJjUToz9i9i,Bizarrap Residente,Residente: Bzrp Music Sessions Vol 49,DALE PLAY Records,14007874
0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,13987668
74loibzxXRL875X20kenvk,Lil Yachty,Poland,Quality Control Music/Motown Records,13922997
5MMW4CZsZiZt2iuqAXzzWC,Kendrick Lamar,The Heart Part 5,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,13887401
4JzCFEc3O2UEdjKzevvFH5,BTS,For Youth,BIGHIT MUSIC,13820366
3pUa0ZxdSeaJXm0EIydD3F,Taylor Swift,Would've Could've Should've,Taylor Swift,13811226
1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,13798049
6RQ5IwG7uADz9LDWliJGjU,SZA,Special,Top Dawg Entertainment/RCA Records,13737191
52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán - La Gaita Mauro Castillo Adassa Rhenzy Feliz Diane Guerrero Stephanie Beatriz Encanto - Cast,We Don't Talk About Bruno,Walt Disney Records,13699324
1ga4PztXOIw1yBbdUt2X8v,KAROL G Maldy,GATÚBELA,UMLE - Latino,13620968
0bYVPJvXr8ACmw313cVvhB,BLACKPINK,Tally,YG Entertainment/Interscope Records,13569420
6K5ph5mq1qprHae3TrgTj5,Jessica Darrow,Surface Pressure - From Encanto/Soundtrack Version,UME - Global Clearing House,13479659
0YFqKxV9uNu6LUeYkLOKRS,Metro Boomin John Legend,On Time (with John Legend),Republic Records,13393663
48AJSd42lXpicsGqcgopof,Daddy Yankee Bad Bunny,X ÚLTIMA VEZ,Republic Records,13355837
7IaeavdRzXYQWfu2Wt5GlU,Drake,Currents,OVO,13205946
2KukL7UlQ8TdvpaA7bY3ZJ,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,13204229
2KdKh9vHbKW0tZLqtpxxI0,Justin Bieber Don Toliver,Honest (feat Don Toliver),Justin Bieber 2021 PS/ Def Jam,13186108
5wG3HvLhF6Y5KTGlK0IW3J,Metro Boomin Travis Scott Young Thug,Trance (with Travis Scott & Young Thug),Republic Records,13142559
2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),Chocolate City Music,13081651
