pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo
673,2019,5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,[pop],0.36,0.56,0.06,0.70,0.09,0.49,85.04
674,2019,6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,No Guidance (feat. Drake),[pop],0.70,0.45,0.15,0.12,0.16,0.14,92.93
675,2019,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,[pop],0.78,0.56,0.08,0.13,0.40,0.68,129.99
676,2019,5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,Giant (with RagnBone Man),[Dance/Electronic],0.81,0.89,0.04,0.02,0.08,0.61,122.02
677,2019,5vdp5UmvTsnMEMESIF2Ym7,Queen,Another One Bites The Dust - Remastered 2011,[rock],0.93,0.53,0.16,0.11,0.16,0.75,109.97
678,2019,5icOoE6VgqFKohjWWNp0Ac,Marshmello,Here With Me,[Dance/Electronic],0.79,0.57,0.04,0.06,0.16,0.18,99.96
679,2019,0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),[pop],0.35,0.30,0.03,0.93,0.10,0.12,115.28
680,2019,78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Too Hard (Lil Baby & Gunna),[hip hop],0.90,0.66,0.29,0.09,0.53,0.39,112.51
681,2019,2gwkD6igEhQbDQegRCcdoB,DaBaby,Suge,[hip hop],0.88,0.66,0.43,0.06,0.13,0.84,75.45
682,2019,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind,[Dance/Electronic],0.69,0.77,0.15,0.18,0.12,0.16,125.91
683,2019,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,Verte Ir,[latin],0.86,0.65,0.10,0.39,0.08,0.55,95.98
684,2019,5KawlOMHjWeUjQtnuRs22c,BTS,Boy With Luv (feat. Halsey),[k-pop],0.65,0.86,0.10,0.09,0.19,0.80,119.99
685,2019,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,[hip hop],0.87,0.39,0.24,0.47,0.30,0.44,134.02
686,2019,1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,[rock],0.61,0.82,0.04,0.01,0.15,0.29,168.00
